id_musée;NOM DU MUSEE;ADR;CP;VILLE;TELEPHONE;SITWEB;PERIODE OUVERTURE
55;Musée Eugène Le Roy et des Vieux Métiers;Place Bertran de Born;24290;MONTIGNAC;0553518260;;
56;Musée des Arts et Traditions Populaires du Périgord;2, Rue Raoul Grassin;24400;MUSSIDAN;0553812355;www.museevoulgre.cjb.net;"Ouvert du 1er avril au 31 mai week end de 14h à 18h. Du 1er juin au 15 septembre tous les jours de 9h30 à 12h et de 14h à 18h.
Le musée est ouvert sur réservation aux groupes, scolaires et aux particuliers."
57;Musée Départemental de la Poupée et du Jouet;Avenue du Général Leclerc;24300;NONTRON;0553562080;Site des musées aquitains;
58;Musée Militaire - Souvenir du Périgord;32, Rue des Farges;24000;PERIGUEUX;0553534736;www.museemilitaire-perigord.fr;Ouvert de janvier à mars de 14h à 18h les mercredis et samedis et d'avril à décembre de 14h à 18h du lundi au samedi
59;Musée d'Art et d'Archéologie du Périgord (MAAP);22, Cours Tourny;24000;PERIGUEUX;0553064070;http://www.perigueux-maap.fr/;Ouvert du 1er avril au 30septembre de 10h30 à 17h30 et le week-end de 13h à 18h. Du 1er octobre au 31 mars de 10h à 17h et le week-end de 13h à 18h, les jeudi de 12h à 14h d'octobre à mai
60;Musée Gallo-Romain de Vesunna;"Parc de Vésone
20, Rue du 26ème Régiment d'Infanterie";24000;PERIGUEUX;0553530092;/www.perigueux-vesunna.fr/;Ouvert d'avril à juin et septembre du mardi au vendredi de 9h30 à 17h30, le week-end de 10h à 12h30 et de 14h30 à 18h, en juillet-août tous les jours de 10h à 19h, d'octobre à mars du mardi au vendredi de 9h30 à 12h30 et de 13h30 à 17h, le week-end de 10h
61;Musée du Site Médiéval;;24440;SAINT-AVIT-SENIEUR;0553223227;;Fermé depuis 2011
62;Musée de Sarlat et du Périgord Noir;B.P. 163;24205;SARLAT-LA-CANEDA;0553298298;Site des musées aquitains;Ouvert selon les expositions et les périodes
63;Musée d'Art et Traditions Populaires;"Hôtel de ville
Place de la liberté";24610;VILLEFRANCHE-DE-LONCHAT;0553807725;www.pays-de-bergerac.com/tourisme/site_remarquable/musees/histoire-locale/index.asp;Ouvert du 1er avril au 15 novembre le mardi de 10h à 12h, le samedi et dimanche de 14h30 à 17h30 et sur rendez-vous les autres jours
64;Musée Municipal de Blasimon;Mairie de Blasimon;33540;BLASIMON;0556715212;;
65;Musée d'Art et d'Histoire du Pays Blayais;Citadelle de Blaye;33390;BLAYE;0557426868;Site des musées aquitains;
66;Muséum d'Histoire Naturelle de Bordeaux;5, Place Bardineau;33000;BORDEAUX;0556482637;www.mairie-bordeaux.fr;Fermé au public individuel depuis 2009, ouvert pour les scolaires sur rendez-vous
67;Centre National Jean Moulin;"Direction des établissements culturels
48, rue Vital Carles";33000;BORDEAUX;0556101990;Site de la ville : www.bordeaux.fr;Ouvert du mardi au dimanche de 14h à 18h - (ouvert le 14 juillet et le 15 août)
68;Musée des Arts Décoratifs et du Design;"Hôtel de Lalande
39, Rue Bouffard";33000;BORDEAUX;0556101400;Site de la ville -  www.mairie-bordeaux.fr;Ouvert du mercredi au lundi de 14h à 18h. Expositions ouvertes de 11h à 18h en semaine et le week-end de 14h à 18h
69;CAPC Musée d'Art Contemporain de Bordeaux;"Entrepôt
7, Rue Ferrère";33000;BORDEAUX;0556008150;www.capc-bordeaux.fr ou www.bordeaux.fr;Ouvert du mardi, et du mercredi au dimanche de 11h à 18h. Le mercredi  de 11h à 20h
70;Musée des Beaux-Arts;20, Cours D'Albret;33000;BORDEAUX;0556102056;www.musba-bordeaux.fr;Ouvert du mercredi au lundi de 11h à 18h
71;Musée d'Aquitaine;20, Cours Pasteur;33000;BORDEAUX;0556015100;www.musee-aquitaine-bordeaux.fr;Ouvert du mardi au dimanche de 11h à 18h
72;Musée Goupil;"Conservatoire de l'Image Industrielle
20 Cours Pasteur";33000;BORDEAUX;0556016940;Site de la ville;Musée Aquitaine - Le musée Goupil fonctionne uniquement sur exposition temporaire, à raison d’une par an, en général à l’automne.
73;Musée de la Voiture à Cheval. Au temps des calèches;3, Place de la Citadelle;33710;BOURG-SUR-GIRONDE;0557682357;Site des musées d'aquitaine;Ouvert de mars à mai et octobre week-end et jours fériés de 10h à 13h et de 14h à 19h, et de juin à septembre tous les jours
74;Musée Municipal;Esplanade Charles de Gaulle;33190;LA REOLE;0556611068;Site des musées de l a région;
75;Musée des Beaux-Arts et d'Archéologie;42, Place  Abel Surchamp;33500;LIBOURNE;0557553344;www.musees-libourne.org;"Collections permanentes : mardi de 14h à 18h et du mercredi au samedi de 9h30 à 13h et de 14h à 18h.
Expositions temporaires : du  mardi au samedi de 10h à 13h et de 14h à 18h"
76;Musée Historique ou du Vieux Libourne (Robin);;33500;LIBOURNE;;;
77;Musée d'Histoire et d'Archéologique;Logis Mallet;33330;SAINT-EMILION;0557247209;;
78;Musée Municipal;Maison Braneyre Impasse Dupeyron;33730;VILLANDRAUT;0556253141;;
79;Musée Historique de l'Hydravion;332, Avenue Louis Breguet;40600;BISCARROSSE;0558780065;www.hydravions-biscarrosse.com;Ouvert dun 1er février au 31 décembre du mardi au dimanche de 14h à 18h et en juillet-août tous les jours de 10h à 19h
80;Musée de Borda;"Mairie de Dax Service du musée Borda
14, Rue Saint Pierre
B.P. 50344";40107;DAX Cédex;0558741291;http://www.dax.fr/musee-de-borda - Site des musées aquitains;Ouvert du mardi au samedi de 14h à 18h et le premier dimanche du mois
81;Musée Départemental d'Histoire et d'Archéologie;Abbaye d'Arthous;40300;HASTINGUES;0558730389;www.arthous.landes.org;Ouvert du 1er avril au 30 septembre du mardi au dimanche de 11h à 13h et de 14h à 18h30 et du 1er octobre au 31 mars du mardi au dimanche de 14h à 17h
82;Atelier-Musée  (Ecomusée de la Grande Landes);101, Rue Jacques Desert;40043;LUXEY;0558080139;Site du parc - www.parc-landes-de-gascogne.fr;
83;Musée Despiau-Wlérick;6, Place Marguerite de Navarre;40000;MONT-DE-MARSAN;0558750045;www.mont-de-marsan.org/decouvrir/decouv_muse.html ou Site des musées aquitains;Ouvert du mercredi au lundi de 10h à 12h et de 14h à 18h de mai à septembre, et du lundi au dimanche de 10h à 12h et de 14h à 18h durant la période estivale et pendant les vacances scolaires
84;Musée de la Chalosse;"Domaine de Carcher
480, Chemin du Sala
B.P. 24";40380;MONTFORT-EN-CHALOSSE;0558986927;www.museedelachalosse.fr;Ouvert de novembre à mars du mardi au vendredi de 14h à 17h30, d'avril à octobre du mardi au vendredi de 10h à 12h et du mardi au dimanche de 14h à 18h (18h30 en juin, juillet, août)
85;Ecomusée de la Grande Lande;Route de Soférino;40630;SABRES;0558083131;www.marqueze.fr;Ouvert en basse saison (avril au 31 mai et 15 septembre au 4 novembre du lundi au samedi de 14h à 16h40, dimanche et jours fériés de 10h à 12h et de 14h à 16h40, en haute saison tous les jours de 10h à 12h et de 14h à 16h40, fermeture à 18h ou 19h
86;Musée Municipal;Rue du Général Lamarque;40500;SAINT-SEVER;0559056171;http://www.saint-sever.fr/culture_musee.htm;Ouvert de juillet à septembre de 14h30 à 18h
87;Musée Départemental de la Faïence et des Arts de la table;2378, Route d'Hagetmau;40320;SAMADET;0558791300;www.museesamadet.landes.fr;Ouvert du 1er février au 31 mai de 14h à  18h et du 1er juin au 30 septembre de 10h à 12h et du 14h à 18h30 du mardi au dimanche, et du 1er octobre au 30 novembre de 14h à 18h du mardi au dimanche
88;Musée Municipal du Lac;112, Place de la Mairie;40460;SANGUINET;0558780233;www.ville-sanguinet.fr;Ouvert de mi-avril à fin juin le mercredi et samedi de 14h à 18h, en juillet août, lundi, jeudi, vendredi, samedi, dimanche de 10h à 13h et de 15h30 à 19h et de septembre à mi-octobre mercredi et samedi de 14h à 18h
89;Musée des Beaux-Arts;Place du Dr Pierre Esquirol;47916;AGEN Cedex 9;0553694723;www.agen.fr/musee;Ouvert du 1er octobre au 30 avril de 10h à 12h30 et de 13h30 à 18h du mercredi au lundi et de mai à septembre de 10h à 18h
90;Musée Municipal Albert Marzelles;15, Rue Abel Boyé;47200;MARMANDE;0553644204;Site des musées aquitains et site de la ville;Ouvert du mercredi au jeudi de 15h à 18h, vendredi 13h30 à 19h (octobre à avril) 10h à 19h (mai à septembre) et le samedi de 10h à 12h et de 15h à 18h
91;Musée du Liège et du Bouchon;Rue du Puits Saint Côme;47170;MEZIN;0553656816;www.ville-mezin.fr/musee.html;Ouvert du 1er avril au 1er juin du mardi au vendredi et le dimanche de 14h à 18h, du 2 juin au 30 septembre du mardi au vendredi de 10h à 12h30 et de 14h à 18h et du samedi au lundi de 14h à 18h, en octobre du mardi au vendredi de 14h à 18h
92;Musée du Château Henri IV;Rue Henri IV;47600;NERAC;0553652111;Site des musées aquitains ou www.nerac.fr;Ouvert d'octobre à mars de 14h à 18h du mardi au jeudi et week-end et d'avril à septembre tous les jours de 10h à 18h
93;Musée de Préhistoire Mésolithique Laurent Coulonges;Le Bourg;47500;SAUVETERRE-LA-LEMANCE;0553407303;www.sauveterre-prehistoire.fr ou www.tourisme-fumelois.fr;Ouvert du 15 avril au 31 juin et de septembre à octobre du mardi au samedi de 10h à 12h30 et de 13h30 à 17h30, dimanche de 13h30 à 17h30, en juillet-août tous les jours de 10h à 12h30 et de 14h à 18h, jours fériés de 14h à 18h, et du 15 octobre au 31 déce
94;Musée Municipal (Moulin de Gajac);2, Rue du Jardins;47300;VILLENEUVE-SUR-LOT;0553404800;Site de la ville;Ouvert de novembre à mars du lundi au vendredi de 10h à 12h et de 14h à 17h, samedi et dimanche de 14h à 17h et d'avril à octobre du lundi au vendredi de 10h à 12h et de 14h à 18h, samedi et dimanche de 14h à 18h
95;Musée Municipal;Rue de l'Eglise;64260;ARUDY;0559056171;www.museearudy.com ou www.ot-arudy.fr;Ouvert du 1er janvier au 30 juin et en septembre du mardi au vendredi de 14h à 17h, le dimanche de 15h à 18h en juillet-août tous les jours de 10 h à 12 h et de 15 h à 18 h et du 1er octobre au 31 décembre le dimanche de 15 h à 18 h
96;Musée Bonnat-Helleu - Musée des Beaux-Arts de Bayonne;5, Rue Jacques-Laffitte;64100;BAYONNE;0559590852;www.museebonnat.bayonne.fr;Ouvert du 1er octobre au 31 mai de 10h30 à 12h30 et de 13H30 à 18h30 du mercredi au lundi et du 1er juin au 30 septembre de 10h30 à 18h30
97;Musée Basque et de l'Histoire de Bayonne;37, Quai des Corsaires;64100;BAYONNE;0559466190;www.musee-basque.com;Ouvert du mardi au dimanche d'octobre à mars de 10h30 à 18h, et d'avril à septembre de 10h à 18h30,  tous les jours en juillet-août de 10h à 18h30 nocturnes le jeudi jusqu'à 20h30
98;Muséum d'Histoire Naturelle;"Hôtel de ville
1, Avenue Maréchal Leclerc";64100;BAYONNE;0559591510;www.museum.bayonne.fr;Ouvert du 15 avril au 14 octobre du mardi au dimanche de 10h30 à 12h30 et de 13h30 à 18h et du 15 octobre au 14 avril du mardi au vendredi de 13h30 à 17h samedi, dimanche de 11h à 12h30 et de 13h30 à 17h
99;Musée Edmond Rostand;"Villa Arnaga
Route du Docteur Camino";64250;CAMBO-LES-BAINS;0559298392;www.arnaga.com;Ouvert tous les jours d'avril à juin  et de septembre au 14 octobre de 9h30 à 12h30 et de 14h30 à 18h30, en juillet-août de 10h à 19h, et du 15 octobre à la fin des vacances de la Toussaint de 14h30 à 18h
100;Musée Municipal de Guéthary;"Parc municipal André Narbaits 
117, Avenue du Général de Gaulle";64210;GUETHARY;0559548637;www.musee-de-guethary.fr;Ouvert de mai à juin et de septembre à octobre lundi, mercredi au samedi de 14h30 à 18h30, en juillet-août lundi, mercredi au samedi de 0h à 12h et de 15h à 19h
101;Musée Bernadotte;8, Rue Tran;64000;PAU;0559274842;site de la ville;Ouvert du mardi au dimanche de 10h à 12h et de  14h à 18h
102;Musée Municipal des Beaux-Arts;Rue Mathieu Lalanne;64000;PAU;0559273302;http://musee.ville-pau.fr;Ouvert de 10h à 12h et de 14h à 18h
103;Musée National du Château;;64000;PAU;0559823800;www.musee-chateau-pau.fr;Ouvert du 16 septembre au 14 juin 2010 de 9h30 à 11h45 et de 14h à 17h et du 15 juin au 15 septembre de 9h30 à 12h30 et de 13h30 à 18h45
104;Musée Béarnais;"Association Régionaliste de Pyrénées
7 avenue Henri Faisans";64000;PAU;0559823800;;
105;Musée Charles-Louis Philippe;5, Rue Charles-Louis Philippe;03350;CERILLY;0470675200;www.mairie-cerilly.fr;"Ouvert du 1er mai au 30 juin et du 1er septembre au 31 octobre de 15h à 18h, samedi, dimanche et jours fériés  de 15h à 18h, en juillet-août tous les jours de 15h à 18h.
En dehors de ces périodes, possibilité de visite tous les jours uniquement sur rende"
106;Musée Municipal de Gannat;Place Rantian;03800;GANNAT;0470902378;www.bassin-gannat.com;Ouvert d'avril à juin et septembre à mi-octobre du mardi au dimanche de 14h à 18h et juillet/août du mardi au samedi de 10h30 à 12h et de 14h à 19h et le dimanche de 14h à 19h
107;Musée Rural de la Sologne Bourbonnaise;"Michel LABONNE
Secrétaire des Amis du Muséee
149, Route de Bourgogne";03400;IZEURE;;;
108;Musée des Musiques Populaires - MuPop;3, Rue Notre Dame;03100;MONTLUCON;0470021962;www.mupop.fr;Ouvert du mardi au dimanche du 1er juin au 31 août de 10h à 19h et du 1er septembre au 31 mai de 14h à 18h (et sur rdv le matin pour les groupes)
109;Centre National du Costume de Scène et de la Scénographie;"Quartier Villars
Route de montilly";03000;MOULINS;0470207620;www.cncs.fr;Ouvert tous les jours de 10h à 18h, en juillet-août de 10h à 18h30
110;Musée Anne de Beaujeu;"1, Avenue Victor Hugo
B.P. 1669";03016;MOULINS Cedex;0470204847;www.mab.allier.fr;Ouvert de septembre à juin du mardi au samedi de 10h à 12h et de 14h à 18h, dimanches et jours fériés de 14h à 18h. En juillet-août ouvert du lundi au samedi de 10h à 12h30 et de 14h à 18h30, dimanches et jours fériés de 14h à 18h30
111;Musée Rieckotter;"Hôtel de Ville
Boulevard des Arène - B.P. 10";03310;NERIS-LES-BAINS;0470034211;www.ville-neris-les-bains.fr;Ouvert d'avril à octobre du mardi au samedi de 14h30 à 18h, de juin à septembre le dimanche de 14h30 à 17h30, visite guidée le jeudi et le samedi à 16h
112;Musée Municipal de Souvigny;Place Aristide Briand;03210;SOUVIGNY;0470439975;site de la ville www.ville-souvigny.com;Ouvert d'avril à mai et d'octobre à mi- novembre du mercredi au lundi de 9h à 12h et de 14h à 18h, de juin à septembre tous les jours de 9h à 12h et de 14h à 18h, en juillet-août de 9h à 12h et de 14h à 19h
