NOMREG;NOMDEP;ANNEXE;NOM DU MUSEE;ADR;CP;VILLE;TELEPHONE1;FAX;SITWEB;FERMETURE ANNUELLE;PERIODE OUVERTURE;JOURS NOCTURNES
ALSACE;BAS-RHIN;;MusÇe d'Art Moderne et Contemporain de Strasbourg;1 place Hans Jean Arp;67000;STRASBOURG;0388233131;0388233132;www.musees-strasbourg.eu;1er janvier, vendredi saint, 1er mai, 1er et 11 novembre, 25 dÇcembre;Ouvert du mardi au dimanche de 10h Ö 18h;
ALSACE;BAS-RHIN;;MusÇe des Arts DÇcoratifs;"Palais Rohan
2, Place du ChÉteau";67000;STRASBOURG;0388525000;0388525009;www.musees-strasbourg.eu;1er janvier, vendredi saint, 1er mai, 1er et 11 novembre, 25 dÇcembre;Ouvert le lundi et du mercredi au dimanche de 10h Ö 18h;
ALSACE;BAS-RHIN;;MusÇe ArchÇologique;"Palais Rohan
2, Place du ChÉteau";67000;STRASBOURG;0388525000;0388525039;www.musees.strasbourg.eu;1er janvier, vendredi saint, 1er mai, 1er et 11 novembre, 25 dÇcembre;Ouvert le lundi et du mercredi au dimanche de 10h Ö 18h;
ALSACE;BAS-RHIN;;MusÇe des Beaux-Arts;"Palais Rohan
2, Place du ChÉteau";67000;STRASBOURG;0388525000;0388525009;www.musees.strasbourg.eu;1er janvier, vendredi saint, 1er mai, 1er et 11 novembre, 25 dÇcembre;Ouvert le lundi et du mercredi au dimanche de 10h Ö 18h;
ALSACE;BAS-RHIN;;MusÇe de l'?uvre Notre-Dame;3, Place du ChÉteau;67000;STRASBOURG;0388525000;0388525009;www.musees-strasbourg.eu;1er janvier, vendredi saint, 1er mai, 1er et 11 novembre, 25 dÇcembre;Ouvert du mardi au  dimanche de 10h Ö 18h;
ALSACE;BAS-RHIN;;MusÇe Historique;2, Rue du Vieux MarchÇ aux Poissons;67000;STRASBOURG;0388525000;0388360951;www.musees-strasbourg.eu;;Ouvert du mardi au dimanche de 10h Ö 18h;
ALSACE;BAS-RHIN;;MusÇe Alsacien;23-25, Quai Saint-Nicolas;67000;STRASBOURG;0388525001;0388436418;www.musees-strasbourg.eu;1er janvier, vendredi saint, 1er mai, 1er et 11 novembre, 25 dÇcembre;Ouvert lundi, mercredi au dimanche de 10h Ö 18h;
ALSACE;BAS-RHIN;;Cabinet des Estampes et des Dessins;5, Place du ChÉteau;67000;STRASBOURG;0388525000;0388525025;www.musees-strasbourg.eu;;Ouvert du lundi au vendredi de 9h Ö 17h;
ALSACE;BAS-RHIN;;MusÇe Tomi Ungerer;"Villa Greiner
2, avenue de la Marseillaise";67000;STRASBOURG;0369063727;0369063728;www.musees-strasbourg.eu;1er janvier, Vendredi Saint, 1er mai, 1er et 11 novembre, 25 dÇcembre;Ouvert le lundi, mercredi au dimanche de 10h Ö 18h;
ALSACE;BAS-RHIN;;MusÇe Zoologique de l'UniversitÇ Louis Pasteur et de la Ville de Strasbourg;29, Boulevard de la Victoire;67000;STRASBOURG;0390240485;0390240558;www.musees.strasbourg.eu;1er janvier, vendredi saint, 1er mai, 1er et 11 novembre, 25 dÇcembre;Ouvert lundi, mercredi au dimanche de 10h Ö 18h;
ALSACE;BAS-RHIN;;MusÇe J.F. Oberlin;25, MontÇe Oberlin;67130;WALDERSBACH;0388973027;0388973221;www.musee-oberlin.com;1er janvier, vendredi Saint, dimanche de PÉques, 1er mai, dimanche de Pentecìte, 1er novembre, 24, 25, 31 dÇcembre;Ouvert du 1er avril au 30 septembre de 10h Ö 19h et du 1er octobre au 31 mars de 14h Ö 18h (matin sur rdv);
ALSACE;BAS-RHIN;;MusÇe Lalique;40 rue du Hochberg;67290;WINGEN-SUR-MODER;0388890814;0388034275;www.musee-lalique.com;Janvier (hors vacances scolaires),  25 dÇcembre;Ouvert d'avril Ö septembre tous les jours de 10h Ö 19h, en fÇvrier, mars, octobre et novembre de 10h Ö 18h, en dÇcembre de 10h Ö 19h et fermeture Ö 16h les 24 et 31 dÇcembre;
ALSACE;BAS-RHIN;;MusÇe Westercamp;3, rue du MusÇe;67160;WISSEMBOURG;0388059663;0388548103;www.musee-wissembourg.webmuseo.com ou www.ville-wissembourg.eu;;;
ALSACE;BAS-RHIN;;MusÇe de la Bataille du 6 Aoñt 1870;2, Rue du Moulin;67360;WOERTH;0388094096;0388094707;www.woerth-en-alsace.com;Janvier, les 24, 25, 26 et 31 DÇcembre et jours fÇriÇs;Ouvert d'avril Ö septembre mercredi, jeudi, samedi, dimanchede 14h Ö 18h;
ALSACE;HAUT-RHIN;;MusÇe Sundgauvien d'Altkirch;1, Rue de l'Hìtel de Ville;68130;ALTKIRCH;0389400194;0389400194;;;Ouvert de septembre Ö juin le dimanche de 14h30 Ö 17h30, juillet-aoñt du mardi au dimanche de 14h30 Ö 17h30. Lors des expositions temporaires du mardi au dimanche de 14h30 Ö 17h30;
ALSACE;HAUT-RHIN;;MusÇe Gallo-Romain;Place de la Mairie;68600;BIESHEIM;0389720158;0389720167;www.ville-biesheim.fr/museegr.html;PÉques, Ascension, 1er et 8 mai, 14 juillet, 15 aoñt et 1er novembre ainsi que du 24 dÇcembre au 1er janvier inclus;Ouvert le mercredi et vendredi de 14h Ö 17h30, le jeudi de 9h Ö 12h et de 14h Ö 17h30, le samedi et dimanche de 14h Ö 17h;
ALSACE;HAUT-RHIN;;MusÇe de la Porte de Thann;1, Rue de Thann;68700;CERNAY;0389758880;;www.musee-cernay.org;Du 24 dÇcembre au 28 fÇvrier;"Ouvert de dÇbut mai au 2 octobre 2011 les vendredis, samedis de 14h Ö 17h, les dimanches de 14h Ö 18h
Sur rendez-vous toute l'annÇe pour les groupes de 10 personnes et plus";
ALSACE;HAUT-RHIN;;MusÇe d'Histoire Naturelle et d'Ethnographie de Colmar;11, Rue Turenne;68000;COLMAR;0389238415;0389412962;www.museumcolmar.org;Janvier, 1er mai, 1er novembre et 25 dÇcembre;Ouvert du mercredi au lundi de 10h Ö 12h et de 14h Ö 17h, le dimanche de 14h Ö 18h;
ALSACE;HAUT-RHIN;;MusÇe Bartholdi;30, Rue des Marchands;68000;COLMAR;0389419060;0389235077;www.musee-bartholdi.com ou www.colmar.fr ou www.culture.fr;Janvier et fÇvrier, 1er mai, 1er novembre, 25 dÇcembre;Ouvert du mercredi au lundi de 10h Ö 12h et de 14h Ö 18h du 1er mars au 31 dÇcembre;
ALSACE;HAUT-RHIN;;MusÇe d'Unterlinden;1, rue Unterlinden;68000;COLMAR;0389201550;0389412622;www.musee-unterlinden.com;1er janvier, 1er  mai, 1er  novembre, 25 dÇcembre;Ouvert de mai Ö octobre tous les jours de 9h Ö 18h, de novembre Ö avril du mercredi au lundi  de 9h Ö 12h et de 14h Ö  17h du 8 au 31 dÇcembre tous les jours de 9h Ö 18h;
ALSACE;HAUT-RHIN;;MusÇe ThÇodore Deck et des Pays du Florival;1, Rue du Quatre FÇvrier;68500;GUEBWILLER;0389742289;0389741323;www.ville-guebwiller.fr/musee-deck/;;Ouvert le lundi et du mercredi au vendredi de 14h Ö 18h, les week-ends et jours fÇris de 10h Ö 12h et de 14h Ö 18h;
ALSACE;HAUT-RHIN;;MusÇe Historique et Militaire de Huningue;6, rue des Boulangers;68330;HUNINGE;0389893394;;http://www.ville-huningue.fr/fr/musee-historique-et-militaire;Aoñt;Ouvert le premier et troisiäme dimanche du mois de 14h30 Ö 17h30;
ALSACE;HAUT-RHIN;;MusÇe d'Histoire Local;64, avenue du GÇnÇral de Gaulle;68240;KAYSERSBERG;0389781111;0389781112;www.ville-kaysersberg.fr;;Ouvert en juillet-aoñt de 10h Ö 12h et de 14h Ö 18h;
ALSACE;HAUT-RHIN;;MusÇe du Vignoble et des Vins d'Alsace;ChÉteau de la ConfrÇrie St-Etienne;68240;KIENTZHEIM;0389782136;0389473474;www.musee-du-vignoble-alsace.fr;Novembre Ö avril;Ouvert du 1er juin au 31 octobre de 10h Ö 12h et de 14h Ö 18h, en mai les week-end et jours de fÇriÇs;
ALSACE;HAUT-RHIN;;MusÇe Historique;4, Rue des Archives;68100;MULHOUSE;0389337810;0389337808;www.musees-mulhouse.fr/musee-historique/collections.html;1er janvier, vendredi saint, lundi de PÉques et de Pentecìte, 1er mai, 14 juillet, 1er et 11 novembre, 25 et 26 dÇcembre;Ouvert du mercredi au lundi de 13h Ö 18h30;
ALSACE;HAUT-RHIN;;CitÇ du Train;2, rue Alfred de Glehn;68200;MULHOUSE;0389428333;0389424182;www.citedutrain.com;25 dÇcembre;Ouvert tous les jours du 1er janvier au 11 avril  de 10h Ö 17h, du 12 avril au 11 novembre de 10h Ö 18h et du 12 novembre au 31 dÇcembre de 10h Ö 17h;
ALSACE;HAUT-RHIN;;MusÇe des Beaux-Arts;4, Place Guillaume-Tell;68100;MULHOUSE;0389337811;0389337808;http://www.musees.mulhouse.museum/dn_beaux_arts/;1er janvier, vendredi saint, lundi de PÉques et de Pentecìte, 1er mai, 14 juillet, 1er et 11 novembre, 25 et 26 dÇcembre;Ouvert du mercredi au lundi de 13h Ö 18h30 - 19h en dÇcembre et du 1er juillet au 31 aoñt de 10h Ö 12 h et de 13h Ö 18h30;
ALSACE;HAUT-RHIN;;MusÇe MinÇralogique de la SociÇtÇ Industrielle de Mulhouse;3, Avenue Alfred-Werner;68093;MULHOUSE Cedex;0389336888;0389336885;;;;
ALSACE;HAUT-RHIN;;MusÇe National de l'Automobile - Collection Schlumpf;"192, Avenue de Colmar
CS 91096";68051;MULHOUSE Cedex;0389332323;0389320809;www.collection-schlumpf.com - http://www.citedelautomobile.com/;25 dÇcembre;Ouvert du 1er au 4 janvier de 10h Ö 17h du 5 janvier au 5 fÇvrier de 14h Ö 17h le week-end de 10h Ö 17h, du 6 fÇvrier au 2 avril de 10h Ö 17h, du 3 avril au 29 octobre de 10h Ö 17h, du 30 octobre au 31 dÇcembre de 10h Ö 17h;
ALSACE;HAUT-RHIN;;MusÇe de l'Impression sur Etoffes;"14, rue Jean-Jacques Henner
B.P. 1468";68072;MULHOUSE CEDEX;0389468300;0389468310;www.musee-impression.com;1er janvier, 1er mai, 25 dÇcembre;Ouvert du mardi au dimanche de 10h Ö 12h et de 14h Ö 18h. Ouverture exceptionnelle le 26 dÇcembre de 15h Ö 18h ainsi que tous les lundi du mois de dÇcembre de 14h Ö 18h;
ALSACE;HAUT-RHIN;;MusÇe EDF Electropolis;"55, rue du PÉturage
B.P. 52463";68057;MULHOUSE Cedex;0389324850;0389328247;electropolis.edf.com;1er janvier, vendredi saint, 1er mai, 1er et 11 novembre, 25 et 26 dÇcembre;Ouvert du mardi au dimanche de 10h Ö 18h;
ALSACE;HAUT-RHIN;;MusÇe Vauban;7, Place de la Porte de Belfort;68600;NEUF-BRISACH;0389720393;0389728582;www.neuf-brisach.fr;;Ouvert du mercredi au lundi du 1er mai au 30 septembre de 10h Ö 12h et de 14h Ö 17h;
ALSACE;HAUT-RHIN;;Maison du Sundgau - MusÇe Paysan;10, rue Principale;68480;OLTINGUE;0389407924;0389073098;http://musee.paysan.free.fr/;Janvier et fÇvrier;Ouvert du 1er mars au 15 juin, du 1er octobre au 15 dÇcembre le dimanche de 14h Ö 17h, du 16 juin au 30 septembre mardi, jeudi, samedi, dimanche de 15h Ö 18h, et du 1er mars au 30 novembre sur rendez-vous pour les groupes;
ALSACE;HAUT-RHIN;;MusÇe du Dolder;57, Rue du GÇnÇral de Gaulle;68340;RIQUEWIHR;0389479215;;www.musee-riquewihr.fr/;DÇcembre, janvier, fÇvrier, mars;Ouvert tous les jours du 8  juillet au 19 aoñt  de 14h Ö 18h, du 6 avril au 8 juillet et du 20 aoñt au 4 novembre les week-ends et jours fÇriÇs de 14h Ö 18h;
ALSACE;HAUT-RHIN;;MusÇe du Papier Peint;"La Commanderie  28, rue Zuber
B.P. 41";68171;RIXHEIM Cedex;0389642456;0385543306;www.museepapierpeint.org;1er janvier, vendredi saint, 1er mai et 25 dÇcembre;Ouvert tous les jours de 10h Ö 12h et de 14h Ö 18h du 2 mai au 31 octobre et de novembre Ö avril du mercredi au lundi;
ALSACE;HAUT-RHIN;;MusÇe des Amis de Thann;24, Rue Saint ThiÇbaut;68800;THANN;0389385325;0389370568;www.ville-thann.fr - http://www.genealogiethaznn.org;;Ouvert en juin et septembre vendredi-samedi-dimanche, en juillet-aoñt du mardi au dimanche de 14h Ö 18h;
ALSACE;HAUT-RHIN;;EcomusÇe d'Alsace;B.P. 71;68190;UNGERSHEIM;0389744474;0389744465;www.ecomusee-alsace.com;DÇcembre, janvier, fÇvrier. FermÇ les 17,18,31 mars, les 1, 21, 22, 28, 29 avril et 6, 7, 13, 14,20 ,21 octobre;Ouvert de fin  mars au 1er novembre de 10h Ö 18h, en de mars Ö  juin et de septembre Ö dÇcembre, du 1er au 11 juillet et du 19 aoñt au 1er septembre de 10h Ö 18h et du 12 juillet au 18 aoñt  de 10h Ö 21h;
ALSACE;HAUT-RHIN;;MusÇe du Sapeur Pompier;12-14 rue de Luppach;68480;VIEUX FERRETTE;0389686818;0389087223;www.musee-sapeur-pompier.fr;;Ouvert de 10h Ö 18h du mardi au dimanche et sur rendez-vous du 1er novembre au 31 mars;
AQUITAINE;DORDOGNE;;MusÇe d'Anthropologie du Tabac d'IntÇràt National;"Maison Peyraräde
Place du Feu";24100;BERGERAC;0553630413;0553619002;http://www.bergerac.fr/EspCulture/sitetabac/index.htm;Jours fÇriÇs;Ouvert en basse saison du mardi au vendredi de 10h Ö 12h et de 14h Ö 18h, le samedi de 10h Ö 12h et d'avril Ö fin septembre le samedi de 14h Ö 18h et le dimanche de 14h30 Ö 18h30 & 1er juin au 30 septembre tous les jours de 10h Ö 13h et de 14h Ö 18h;
AQUITAINE;DORDOGNE;;ChÉteau de Bourdeilles;Bourdeilles;24310;BOURDEILLES;0553037336;0553037336;Site des musÇes aquitains;;Ouvert tous les jours en saison et hors saison du mercredi au lundi;
AQUITAINE;DORDOGNE;;MusÇe Fernand Desmoulin;Boulevard Charlemagne;24310;BRANTOME;0553058063;0553354518;Site des musÇes aquitains ou http://www.perigord-dronne-belle.fr;Janvier;Ouvert du mercredi au dimanche (fÇvrier, mars, octobre Ö dÇcembre) de 10h Ö 12h et de 14h Ö 17 et  d'avril Ö juin et septembre de 10h Ö 18h, et en juillet-aoñt de 10h Ö 19h tous les jours;
AQUITAINE;DORDOGNE;;MusÇe-Aquarium;Site Bella-Riva;24100;CREYSSE;0553232045;0553232045;;;;
AQUITAINE;DORDOGNE;;MusÇe Paul Reclus;Place de la Halle;24250;DOMME;0553317100;0553317109;;;Ouvert tous les jours d'avril Ö juin et septembre de 10h30 Ö 12h30 et de 14h30 Ö 18h, en juillet-aoñt de 10h30 Ö 19h;
AQUITAINE;DORDOGNE;;MusÇe National de la PrÇhistoire;B.P. 7;24620;LES EYZIES-DE-TAYAC;0553064545;0553064555;www.musee-prehistoire-eyzies.fr;25 dÇcembre, 1er janvier;Ouvert d'octobre Ö mai du mercredi au lundi de 9h30 Ö 12h30 et de 14h Ö 17h30, en juin et en septembre du mercredi au lundi de 9h30 Ö 18h et en juillet et en aoñt tous les jours de 9h30 Ö 18h30;
AQUITAINE;DORDOGNE;;MusÇe Eugäne Le Roy et des Vieux MÇtiers;Place Bertran de Born;24290;MONTIGNAC;0553518260;0553504972;;;;
AQUITAINE;DORDOGNE;;MusÇe des Arts et Traditions Populaires du PÇrigord;2, Rue Raoul Grassin;24400;MUSSIDAN;0553812355;0553810994;www.museevoulgre.cjb.net;De dÇcembre Ö mars;"Ouvert du 1er avril au 31 mai week end de 14h Ö 18h. Du 1er juin au 15 septembre tous les jours de 9h30 Ö 12h et de 14h Ö 18h.
Le musÇe est ouvert sur rÇservation aux groupes, scolaires et aux particuliers.";
AQUITAINE;DORDOGNE;;MusÇe DÇpartemental de la PoupÇe et du Jouet;Avenue du GÇnÇral Leclerc;24300;NONTRON;0553562080;0553732072;Site des musÇes aquitains;;;
AQUITAINE;DORDOGNE;;MusÇe Militaire - Souvenir du PÇrigord;32, Rue des Farges;24000;PERIGUEUX;0553534736;0553534736;www.museemilitaire-perigord.fr;Jours fÇriÇs;Ouvert de janvier Ö mars de 14h Ö 18h les mercredis et samedis et d'avril Ö dÇcembre de 14h Ö 18h du lundi au samedi;
AQUITAINE;DORDOGNE;;MusÇe d'Art et d'ArchÇologie du PÇrigord (MAAP);22, Cours Tourny;24000;PERIGUEUX;0553064070;0553064071;http://www.perigueux-maap.fr/;Jours fÇriÇs;Ouvert du 1er avril au 30septembre de 10h30 Ö 17h30 et le week-end de 13h Ö 18h. Du 1er octobre au 31 mars de 10h Ö 17h et le week-end de 13h Ö 18h, les jeudi de 12h Ö 14h d'octobre Ö mai;
AQUITAINE;DORDOGNE;;MusÇe Gallo-Romain de Vesunna;"Parc de VÇsone
20, Rue du 26äme RÇgiment d'Infanterie";24000;PERIGUEUX;0553530092;0553354012;/www.perigueux-vesunna.fr/;Fermeture les 1er et 2äme semaines de janvier apräs vacances scolaires, et les jours fÇriÇs d'octobre Ö mars;Ouvert d'avril Ö juin et septembre du mardi au vendredi de 9h30 Ö 17h30, le week-end de 10h Ö 12h30 et de 14h30 Ö 18h, en juillet-aoñt tous les jours de 10h Ö 19h, d'octobre Ö mars du mardi au vendredi de 9h30 Ö 12h30 et de 13h30 Ö 17h, le week-end de 10h;
AQUITAINE;DORDOGNE;;MusÇe du Site MÇdiÇval;;24440;SAINT-AVIT-SENIEUR;0553223227;0553220413;;;FermÇ depuis 2011;
AQUITAINE;DORDOGNE;;MusÇe de Sarlat et du PÇrigord Noir;B.P. 163;24205;SARLAT-LA-CANEDA;0553298298;0553298035;Site des musÇes aquitains;;Ouvert selon les expositions et les pÇriodes;
AQUITAINE;DORDOGNE;;MusÇe d'Art et Traditions Populaires;"Hìtel de ville
Place de la libertÇ";24610;VILLEFRANCHE-DE-LONCHAT;0553807725;0553807059;www.pays-de-bergerac.com/tourisme/site_remarquable/musees/histoire-locale/index.asp;16 novembre au 30 mars;Ouvert du 1er avril au 15 novembre le mardi de 10h Ö 12h, le samedi et dimanche de 14h30 Ö 17h30 et sur rendez-vous les autres jours;
AQUITAINE;GIRONDE;;MusÇe Municipal de Blasimon;Mairie de Blasimon;33540;BLASIMON;0556715212;;;;;
AQUITAINE;GIRONDE;;MusÇe d'Art et d'Histoire du Pays Blayais;Citadelle de Blaye;33390;BLAYE;0557426868;;Site des musÇes aquitains;;;
AQUITAINE;GIRONDE;;MusÇum d'Histoire Naturelle de Bordeaux;5, Place Bardineau;33000;BORDEAUX;0556482637;0556012859;www.mairie-bordeaux.fr;;FermÇ au public individuel depuis 2009, ouvert pour les scolaires sur rendez-vous;
AQUITAINE;GIRONDE;;Centre National Jean Moulin;"Direction des Çtablissements culturels
48, rue Vital Carles";33000;BORDEAUX;0556101990;0556101991;Site de la ville : www.bordeaux.fr;Certains jours fÇriÇs;Ouvert du mardi au dimanche de 14h Ö 18h - (ouvert le 14 juillet et le 15 aoñt);
AQUITAINE;GIRONDE;;MusÇe des Arts DÇcoratifs et du Design;"Hìtel de Lalande
39, Rue Bouffard";33000;BORDEAUX;0556101400;0556101001;Site de la ville -  www.mairie-bordeaux.fr;Jours fÇriÇs;Ouvert du mercredi au lundi de 14h Ö 18h. Expositions ouvertes de 11h Ö 18h en semaine et le week-end de 14h Ö 18h;
AQUITAINE;GIRONDE;;CAPC MusÇe d'Art Contemporain de Bordeaux;"Entrepìt
7, Rue Ferräre";33000;BORDEAUX;0556008150;0556441207;www.capc-bordeaux.fr ou www.bordeaux.fr;Jours fÇriÇs sauf 14 juillet et 15 aoñt;Ouvert du mardi, et du mercredi au dimanche de 11h Ö 18h. Le mercredi  de 11h Ö 20h;Mercredi jusqu'Ö 20h
AQUITAINE;GIRONDE;;MusÇe des Beaux-Arts;20, Cours D'Albret;33000;BORDEAUX;0556102056;0556102513;www.musba-bordeaux.fr;1er janvier, 1er mai, 1er novembre, 25 dÇcembre;Ouvert du mercredi au lundi de 11h Ö 18h;
AQUITAINE;GIRONDE;;MusÇe d'Aquitaine;20, Cours Pasteur;33000;BORDEAUX;0556015100;0556442436;www.musee-aquitaine-bordeaux.fr;Jours fÇriÇs;Ouvert du mardi au dimanche de 11h Ö 18h;
AQUITAINE;GIRONDE;;MusÇe Goupil;"Conservatoire de l'Image Industrielle
20 Cours Pasteur";33000;BORDEAUX;0556016940;0556016941;Site de la ville;MusÇe Aquitaine;MusÇe Aquitaine - Le musÇe Goupil fonctionne uniquement sur exposition temporaire, Ö raison d?une par an, en gÇnÇral Ö l?automne.;
AQUITAINE;GIRONDE;;MusÇe de la Voiture Ö Cheval. Au temps des caläches;3, Place de la Citadelle;33710;BOURG-SUR-GIRONDE;0557682357;0557683984;Site des musÇes d'aquitaine;1er mai;Ouvert de mars Ö mai et octobre week-end et jours fÇriÇs de 10h Ö 13h et de 14h Ö 19h, et de juin Ö septembre tous les jours;
AQUITAINE;GIRONDE;;MusÇe Municipal;Esplanade Charles de Gaulle;33190;LA REOLE;0556611068;0556712157;Site des musÇes de l a rÇgion;;;
AQUITAINE;GIRONDE;;MusÇe des Beaux-Arts et d'ArchÇologie;42, Place  Abel Surchamp;33500;LIBOURNE;0557553344;0557553376;www.musees-libourne.org;;"Collections permanentes : mardi de 14h Ö 18h et du mercredi au samedi de 9h30 Ö 13h et de 14h Ö 18h.
Expositions temporaires : du  mardi au samedi de 10h Ö 13h et de 14h Ö 18h";
AQUITAINE;GIRONDE;;MusÇe Historique ou du Vieux Libourne (Robin);;33500;LIBOURNE;;;;;;
AQUITAINE;GIRONDE;;MusÇe d'Histoire et d'ArchÇologique;Logis Mallet;33330;SAINT-EMILION;0557247209;;;;;
AQUITAINE;GIRONDE;;MusÇe Municipal;Maison Braneyre Impasse Dupeyron;33730;VILLANDRAUT;0556253141;;;;;
AQUITAINE;LANDES;;MusÇe Historique de l'Hydravion;332, Avenue Louis Breguet;40600;BISCARROSSE;0558780065;0558788197;www.hydravions-biscarrosse.com;Jours fÇriÇs;Ouvert dun 1er fÇvrier au 31 dÇcembre du mardi au dimanche de 14h Ö 18h et en juillet-aoñt tous les jours de 10h Ö 19h;
AQUITAINE;LANDES;;MusÇe de Borda;"Mairie de Dax Service du musÇe Borda
14, Rue Saint Pierre
B.P. 50344";40107;DAX CÇdex;0558741291;0558744522;http://www.dax.fr/musee-de-borda - Site des musÇes aquitains;1er mai, 1er et 11 novembre;Ouvert du mardi au samedi de 14h Ö 18h et le premier dimanche du mois;
AQUITAINE;LANDES;;MusÇe DÇpartemental d'Histoire et d'ArchÇologie;Abbaye d'Arthous;40300;HASTINGUES;0558730389;0558737272;www.arthous.landes.org;du 20 dÇcembre au 1er fÇvrier, 1er mai,  11 novembre;Ouvert du 1er avril au 30 septembre du mardi au dimanche de 11h Ö 13h et de 14h Ö 18h30 et du 1er octobre au 31 mars du mardi au dimanche de 14h Ö 17h;
AQUITAINE;LANDES;;Atelier-MusÇe  (EcomusÇe de la Grande Landes);101, Rue Jacques Desert;40043;LUXEY;0558080139;0558080513;Site du parc - www.parc-landes-de-gascogne.fr;;;
